Date,Time,Open,High,Low,Close,Volume,OpenInt
2012-10-31,15:35:00,7.63,7.63,7.62,7.62,400,0
2012-10-31,15:45:00,7.5601,7.57,7.5601,7.57,300,0
2012-10-31,16:00:00,7.5708,7.5708,7.57,7.57,200,0
2012-10-31,16:40:00,7.82,7.88,7.82,7.88,3480,0
2012-10-31,16:45:00,7.9,7.9,7.88,7.88,1497,0
2012-10-31,21:00:00,7.715,7.715,7.715,7.715,100,0
2012-11-01,20:55:00,7.53,7.54,7.53,7.54,300,0
2012-11-02,15:20:00,7.54,7.54,7.54,7.54,220,0
2012-11-02,15:35:00,7.54,7.54,7.5001,7.51,1310,0
2012-11-02,15:45:00,7.5,7.5,7.5,7.5,610,0
2012-11-02,16:40:00,7.51,7.51,7.51,7.51,100,0
2012-11-02,17:40:00,7.75,7.75,7.741,7.741,1000,0
2012-11-02,17:55:00,7.7,7.7,7.7,7.7,100,0
2012-11-02,20:55:00,7.7,7.7,7.7,7.7,200,0
2012-11-02,21:00:00,7.5183,7.52,7.5183,7.52,950,0
2012-11-05,16:00:00,7.51,7.51,7.51,7.51,300,0
2012-11-05,19:15:00,7.56,7.56,7.55,7.55,798,0
2012-11-05,21:55:00,7.55,7.55,7.55,7.55,105,0
